aiwenmangguo	phrase-full
ak	transposed-letters
aki	transposed-letters
akn	transposed-letters
akng	transposed-letters
ako	transposed-letters
al	transposed-letters
ali	transposed-letters
aln	transposed-letters
alng	transposed-letters
alo	transposed-letters
am	adjacent-key,transposed-letters
amg	adjacent-key
ami	transposed-letters
amianj	phrase-mixed
amikrong	phrase-mixed
amj	phrase-initial
amkr	phrase-initial
amn	transposed-letters
amng	transposed-letters
amo	transposed-letters
an	missing-letter,phrase-initial,phrase-prefix,syllable,syllable-prefix,transposed-letters
and	phrase-prefix
anda	phrase-prefix
andan	phrase-prefix
andanx	phrase-prefix
andanxi	phrase-prefix
andanxia	phrase-prefix
andanxial	phrase-prefix
andanxiala	phrase-prefix
andanxialai	phrase-full
anf	adjacent-key
ang	missing-letter,phrase-prefix,syllable
angz	phrase-prefix
angza	phrase-prefix
angzan	phrase-prefix
angzang	phrase-full
anh	adjacent-key
ani	transposed-letters
anian	phrase-mixed
anm	phrase-prefix
anmi	phrase-prefix
anmia	phrase-prefix
anmian	phrase-prefix
anmianj	phrase-prefix
anmianji	phrase-full
ann	phrase-prefix,transposed-letters
anng	transposed-letters
anni	phrase-prefix
annia	phrase-prefix
annian	phrase-full
ano	transposed-letters
anr	phrase-prefix
anra	phrase-prefix
anran	phrase-prefix
anrand	phrase-prefix
anranda	phrase-prefix
anrandao	phrase-prefix
anrandaom	phrase-prefix
anrandaoma	phrase-prefix
anrandaomao	phrase-full
anw	phrase-prefix
anwe	phrase-prefix
anwei	phrase-prefix
anweih	phrase-prefix
anweihu	phrase-prefix
anweihuo	phrase-prefix
anweihuof	phrase-prefix
anweihuofu	phrase-full
anx	phrase-prefix
anxi	phrase-prefix
anxia	phrase-prefix
anxian	phrase-prefix
anxiang	phrase-full
any	phrase-prefix
anyu	phrase-prefix
anyue	phrase-prefix
anyuej	phrase-prefix
anyueji	phrase-prefix
anyuejic	phrase-prefix
anyuejich	phrase-prefix
anyuejicho	phrase-prefix
anyuejichou	phrase-full
anz	phrase-prefix
anzh	phrase-prefix
anzhu	phrase-full
ao	adjacent-key,missing-letter,phrase-prefix,syllable
aom	phrase-prefix
aomi	phrase-prefix
aomik	phrase-prefix
aomike	phrase-prefix
aomiker	phrase-prefix
aomikero	phrase-prefix
aomikeron	phrase-prefix
aomikerong	phrase-full
aong	adjacent-key
aou	adjacent-key
aoy	phrase-prefix
aoyi	phrase-prefix
aoyis	phrase-prefix
aoyish	phrase-prefix
aoyishu	phrase-full
ap	adjacent-key,transposed-letters
api	transposed-letters
apn	transposed-letters
apng	transposed-letters
apo	transposed-letters
arandmao	phrase-mixed
ardm	phrase-initial
arn	transposed-letters
arng	transposed-letters
aro	transposed-letters
as	transposed-letters
ashup	phrase-mixed
asi	transposed-letters
asn	transposed-letters
asng	transposed-letters
aso	transposed-letters
asp	phrase-initial
at	transposed-letters
ati	transposed-letters
atn	transposed-letters
atng	transposed-letters
ato	transposed-letters
au	adjacent-key
auan	adjacent-key
aui	adjacent-key
aun	adjacent-key
auo	adjacent-key
aw	transposed-letters
aweihfu	phrase-mixed
awenmguo	phrase-mixed
awhf	phrase-initial
awi	transposed-letters
awmg	phrase-initial
awn	transposed-letters
awng	transposed-letters
ax	phrase-initial
axiang	phrase-mixed
ay	transposed-letters
ayi	transposed-letters
ayis	phrase-mixed
ayjc	phrase-initial
ayn	transposed-letters
ayng	transposed-letters
ayo	transposed-letters
ays	phrase-initial
ayuejchou	phrase-mixed
az	phrase-initial,transposed-letters
azang	phrase-mixed
azhu	phrase-mixed
azi	transposed-letters
azn	transposed-letters
azng	transposed-letters
azo	transposed-letters
b	adjacent-key,missing-letter,phrase-prefix,syllable,syllable-prefix
ba	adjacent-key,missing-letter,phrase-prefix,syllable,syllable-prefix
bab	adjacent-key,phrase-prefix
babg	adjacent-key
babu	phrase-prefix
babud	phrase-prefix
babuda	phrase-prefix
babudao	phrase-full
bag	missing-letter
bagn	transposed-letters
bah	phrase-prefix
bahe	phrase-prefix
baheb	phrase-prefix
bahebi	phrase-prefix
bahebis	phrase-prefix
bahebisa	phrase-prefix
bahebisai	phrase-full
bai	adjacent-key,phrase-prefix,syllable
baic	phrase-prefix
baich	phrase-prefix
baichu	phrase-prefix
baichul	phrase-prefix
baichula	phrase-prefix
baichulai	phrase-full
baif	phrase-prefix
baifa	phrase-prefix
baifab	phrase-prefix
baifaba	phrase-prefix
baifabai	phrase-prefix
baifabaiz	phrase-prefix
baifabaizh	phrase-prefix
baifabaizho	phrase-prefix
baifabaizhon	phrase-prefix
baifabaizhong	phrase-full
baife	phrase-prefix
baifen	phrase-full
baih	phrase-prefix
baihu	phrase-prefix
baihua	phrase-prefix
baihuai	phrase-full
bain	phrase-prefix,transposed-letters
baing	transposed-letters
baini	phrase-prefix
bainia	phrase-prefix
bainiao	phrase-full
baio	transposed-letters
baip	phrase-prefix
baipi	phrase-prefix
baipin	phrase-prefix
baiping	phrase-prefix
baipingh	phrase-prefix
baipinghe	phrase-prefix
baipinghen	phrase-prefix
baipingheng	phrase-full
baiq	phrase-prefix
baiqi	phrase-full
bait	phrase-prefix
baita	phrase-prefix
baitan	phrase-prefix
baitang	phrase-full
baitqu	phrase-mixed
baix	phrase-prefix
baixi	phrase-prefix
baixia	phrase-full,phrase-prefix
baixial	phrase-prefix
baixiala	phrase-prefix
baixialai	phrase-full
baiy	phrase-prefix
baiye	phrase-full
baj	phrase-prefix
baji	phrase-prefix
bajia	phrase-prefix
bajiao	phrase-prefix
bajiaox	phrase-prefix
bajiaoxi	phrase-prefix
bajiaoxin	phrase-prefix
bajiaoxing	phrase-full
bak	phrase-prefix
baku	phrase-full
bal	phrase-prefix
bale	phrase-prefix
bales	phrase-prefix
balesh	phrase-prefix
baleshu	phrase-full
bali	phrase-full,phrase-prefix
balin	phrase-prefix
baling	phrase-full
bam	adjacent-key,phrase-prefix
bama	phrase-full
bamg	adjacent-key
ban	adjacent-key,missing-letter,phrase-prefix,syllable,syllable-prefix
band	phrase-prefix
bandi	phrase-prefix
bandin	phrase-prefix
banding	phrase-full
banf	adjacent-key
bang	adjacent-key,missing-letter,phrase-prefix,syllable
bange	phrase-prefix
bangex	phrase-prefix
bangexi	phrase-prefix
bangexia	phrase-prefix
bangexiao	phrase-prefix
bangexiaos	phrase-prefix
bangexiaosh	phrase-prefix
bangexiaoshi	phrase-full
bangz	phrase-prefix
bangzh	phrase-prefix
bangzha	phrase-full
banh	adjacent-key
bank	phrase-prefix
banko	phrase-prefix
bankon	phrase-prefix
bankong	phrase-full
bant	phrase-prefix
banti	phrase-prefix
bantia	phrase-prefix
bantiao	phrase-full
banz	phrase-prefix
banzh	phrase-prefix
banzhi	phrase-full
bao	adjacent-key,missing-letter,phrase-prefix,syllable
baob	phrase-prefix
baoba	phrase-prefix
baoban	phrase-full
baoc	phrase-prefix
baoch	phrase-prefix
baocha	phrase-prefix
baochao	phrase-full
baof	phrase-prefix
baofe	phrase-prefix
baofen	phrase-prefix
baofeng	phrase-full
baoh	phrase-prefix
baohe	phrase-prefix
baohen	phrase-full
baoj	phrase-prefix
baoji	phrase-prefix
baojie	phrase-full
baojin	phrase-full
baol	phrase-prefix
baoli	phrase-full
baos	phrase-prefix
baosh	phrase-prefix
baosha	phrase-prefix
baoshan	phrase-prefix
baoshanl	phrase-prefix
baoshanlu	phrase-full
baow	phrase-prefix
baowu	phrase-full
baox	phrase-prefix
baoxi	phrase-prefix
baoxia	phrase-prefix
baoxian	phrase-prefix
baoxiang	phrase-full
baoxiao	phrase-full
baoy	phrase-prefix
baoyu	phrase-prefix
baoyua	phrase-prefix
baoyuan	phrase-full
baoz	phrase-prefix
baoza	phrase-prefix
baozai	phrase-full
bap	adjacent-key
bas	phrase-prefix
bash	phrase-prefix
bashi	phrase-full
batq	phrase-initial
bau	adjacent-key
bb	phrase-initial
bban	phrase-mixed
bbao	phrase-mixed
bbd	phrase-initial
bben	phrase-mixed
bbens	phrase-mixed
bbox	phrase-mixed
bbs	phrase-initial
bbud	phrase-mixed
bbx	phrase-initial
bc	phrase-initial
bcb	phrase-initial
bchao	phrase-mixed
bchongb	phrase-mixed
bchou	phrase-mixed
bchul	phrase-mixed
bchuq	phrase-mixed
bci	phrase-mixed
bcl	phrase-initial
bcq	phrase-initial
bd	phrase-initial
bdangh	phrase-mixed
bdel	phrase-mixed
bdf	phrase-initial
bdh	phrase-initial
bdi	phrase-mixed
bding	phrase-mixed
bdl	phrase-initial
bduan	phrase-mixed
bdui	phrase-mixed
bduif	phrase-mixed
bduil	phrase-mixed
be	adjacent-key,missing-letter,phrase-prefix,syllable-prefix
beb	adjacent-key
bebg	adjacent-key
beg	missing-letter
begn	transposed-letters
bei	adjacent-key,phrase-prefix,syllable,transposed-letters
beib	phrase-prefix
beibo	phrase-prefix
beibox	phrase-prefix
beiboxu	phrase-prefix
beiboxue	phrase-full
beic	phrase-prefix
beich	phrase-prefix
beichu	phrase-prefix
beichuq	phrase-prefix
beichuqu	phrase-full
beif	phrase-prefix
beifu	phrase-full
beig	phrase-prefix
beiga	phrase-prefix
beigao	phrase-full
beigu	phrase-prefix
beigua	phrase-full,phrase-prefix
beiguan	phrase-prefix
beiguang	phrase-prefix
beiguangx	phrase-prefix
beiguangxi	phrase-prefix
beiguangxin	phrase-prefix
beiguangxing	phrase-full
beih	phrase-prefix
beiha	phrase-prefix
beihai	phrase-prefix
beihaiz	phrase-prefix
beihaizh	phrase-prefix
beihaizhe	phrase-full
beij	phrase-prefix
beiji	phrase-prefix
beijin	phrase-prefix
beijing	phrase-prefix
beijingc	phrase-prefix
beijingch	phrase-prefix
beijingche	phrase-prefix
beijingchen	phrase-prefix
beijingcheng	phrase-full
beis	phrase-prefix
beish	phrase-prefix
beisha	phrase-prefix
beishan	phrase-prefix
beishang	phrase-full
beisi	phrase-prefix
beisim	phrase-prefix
beisima	phrase-prefix
beisimai	phrase-full
beit	phrase-prefix
beito	phrase-prefix
beiton	phrase-prefix
beitong	phrase-full
beix	phrase-prefix
beixi	phrase-prefix
beixia	phrase-prefix
beixial	phrase-prefix
beixiala	phrase-prefix
beixialai	phrase-full
beiy	phrase-prefix
beiyu	phrase-prefix
beiyue	phrase-prefix
beiyuez	phrase-prefix
beiyuezu	phrase-prefix
beiyuezuz	phrase-prefix
beiyuezuzh	phrase-prefix
beiyuezuzhi	phrase-full
bem	adjacent-key
bemg	adjacent-key
ben	adjacent-key,missing-letter,phrase-prefix,syllable,syllable-prefix
benb	phrase-prefix
benba	phrase-prefix
benban	phrase-full
benc	phrase-prefix
benci	phrase-full
bend	phrase-prefix
bendi	phrase-full
benf	adjacent-key
beng	adjacent-key,syllable
benh	adjacent-key,phrase-prefix
benha	phrase-prefix
benhan	phrase-prefix
benhang	phrase-full
benj	phrase-prefix
benji	phrase-full
benl	phrase-prefix
benle	phrase-prefix
benlei	phrase-full
benli	phrase-full
benp	phrase-prefix
benpi	phrase-prefix
benpia	phrase-prefix
benpiao	phrase-full
bens	phrase-prefix
bensh	phrase-prefix
benshi	phrase-prefix
benshit	phrase-prefix
benshito	phrase-prefix
benshiton	phrase-prefix
benshitong	phrase-prefix
benshitongg	phrase-prefix
benshitongge	phrase-prefix
benshitonggen	phrase-prefix
benshitonggens	phrase-prefix
benshitonggensh	phrase-prefix
benshitonggenshe	phrase-prefix
benshitonggenshen	phrase-prefix
benshitonggensheng	phrase-full
bent	phrase-prefix
benti	phrase-prefix
bentin	phrase-prefix
benting	phrase-full
benw	phrase-prefix
benwa	phrase-prefix
benwan	phrase-prefix
benwang	phrase-full
benx	phrase-prefix
benxi	phrase-prefix
benxia	phrase-prefix
benxian	phrase-prefix
benxiang	phrase-prefix
benxiangz	phrase-prefix
benxiangzo	phrase-prefix
benxiangzou	phrase-prefix
benxiangzoug	phrase-prefix
benxiangzouga	phrase-prefix
benxiangzougao	phrase-full
benz	phrase-prefix
benzh	phrase-prefix
benzho	phrase-prefix
benzhou	phrase-full
beo	adjacent-key
beu	adjacent-key
bf	phrase-initial
bfa	phrase-mixed
bfabzhong	phrase-mixed
bfang	phrase-mixed
bfbz	phrase-initial
bfen	phrase-mixed
bfeng	phrase-mixed
bfu	phrase-mixed
bg	phrase-initial
bgao	phrase-mixed
bgegxia	phrase-mixed
bgexshi	phrase-mixed
bggx	phrase-initial
bgua	phrase-mixed
bguangx	phrase-mixed
bguiz	phrase-mixed
bguozyong	phrase-mixed
bgx	phrase-initial
bgxs	phrase-initial
bgz	phrase-initial
bgzy	phrase-initial
bh	phrase-initial
bhaihteng	phrase-mixed
bhaiz	phrase-mixed
bhang	phrase-mixed
bhbm	phrase-initial
bhbs	phrase-initial
bhe	phrase-mixed
bhebsai	phrase-mixed
bhen	phrase-mixed
bhht	phrase-initial
bhuai	phrase-mixed
bhuangbmang	phrase-mixed
bhuiz	phrase-mixed
bhz	phrase-initial
bi	adjacent-key,missing-letter,phrase-prefix,syllable,syllable-prefix
bia	missing-letter,phrase-prefix,syllable-prefix,transposed-letters
biab	adjacent-key
biabg	adjacent-key
biag	missing-letter
biagn	transposed-letters
biai	adjacent-key
biam	adjacent-key
biamg	adjacent-key
bian	adjacent-key,missing-letter,phrase-prefix,syllable,syllable-prefix
biand	phrase-prefix
bianda	phrase-prefix
biandan	phrase-prefix
biandang	phrase-prefix
biandangh	phrase-prefix
biandanghe	phrase-full
bianf	adjacent-key
biang	adjacent-key,syllable
bianh	adjacent-key
bianj	phrase-prefix
bianji	phrase-prefix
bianjia	phrase-prefix
bianjian	phrase-prefix
bianjiang	phrase-prefix
bianjiangd	phrase-prefix
bianjiangdi	phrase-prefix
bianjiangdid	phrase-prefix
bianjiangdida	phrase-prefix
bianjiangdidai	phrase-full
bianm	phrase-prefix
bianme	phrase-prefix
bianmen	phrase-full
bianx	phrase-prefix
bianxi	phrase-prefix
bianxie	phrase-prefix
bianxiec	phrase-prefix
bianxiech	phrase-prefix
bianxiechu	phrase-full
biao	adjacent-key,phrase-prefix,syllable
biaob	phrase-prefix
biaobe	phrase-prefix
biaoben	phrase-full,phrase-prefix
biaobens	phrase-prefix
biaobensh	phrase-prefix
biaobenshi	phrase-full
biaom	phrase-prefix
biaomi	phrase-prefix
biaomia	phrase-prefix
biaomian	phrase-full
biaos	phrase-prefix
biaosh	phrase-prefix
biaosha	phrase-prefix
biaoshan	phrase-prefix
biaoshang	phrase-full
biaoy	phrase-prefix
biaoya	phrase-prefix
biaoyan	phrase-prefix
biaoyanx	phrase-prefix
biaoyanxi	phrase-prefix
biaoyanxin	phrase-prefix
biaoyanxing	phrase-full
biap	adjacent-key
bib	adjacent-key
bibg	adjacent-key
bid	phrase-prefix
bidu	phrase-prefix
bidua	phrase-prefix
biduan	phrase-full
bidui	phrase-prefix
biduif	phrase-prefix
biduifa	phrase-full
bie	adjacent-key,phrase-prefix,syllable,transposed-letters
bied	phrase-prefix
biedu	phrase-prefix
biedui	phrase-full
bieq	phrase-prefix
bieqi	phrase-prefix
bieqin	phrase-prefix
bieqing	phrase-full
bies	phrase-prefix
biesh	phrase-prefix
biesha	phrase-prefix
bieshal	phrase-prefix
bieshale	phrase-full
bieshe	phrase-prefix
bieshen	phrase-prefix
biesheng	phrase-full
bieshu	phrase-full
bif	phrase-prefix
bifa	phrase-prefix
bifan	phrase-prefix
bifang	phrase-full
big	missing-letter,phrase-prefix
bige	phrase-prefix
bigeg	phrase-prefix
bigega	phrase-prefix
bigegao	phrase-prefix
bigegaox	phrase-prefix
bigegaoxi	phrase-prefix
bigegaoxia	phrase-full
bign	transposed-letters
bigu	phrase-prefix
biguo	phrase-prefix
biguoz	phrase-prefix
biguozi	phrase-prefix
biguoziy	phrase-prefix
biguoziyo	phrase-prefix
biguoziyon	phrase-prefix
biguoziyong	phrase-full
bih	phrase-prefix
bihe	phrase-full
bij	phrase-prefix
biji	phrase-prefix
bijiu	phrase-full
bil	phrase-prefix
bile	phrase-prefix
bilei	phrase-prefix
bileig	phrase-prefix
bileigu	phrase-prefix
bileigua	phrase-prefix
bileiguan	phrase-full
bim	adjacent-key,phrase-prefix
bimg	adjacent-key
bimu	phrase-prefix
bimuy	phrase-prefix
bimuyu	phrase-full
bin	adjacent-key,missing-letter,phrase-prefix,syllable,syllable-prefix
bina	transposed-letters
binag	transposed-letters
binf	adjacent-key
bing	adjacent-key,missing-letter,phrase-prefix,syllable
bingj	phrase-prefix
bingji	phrase-prefix
bingjib	phrase-prefix
bingjibi	phrase-prefix
bingjibia	phrase-prefix
bingjibiao	phrase-full
bingju	phrase-prefix
bingjus	phrase-prefix
bingjush	phrase-prefix
bingjusho	phrase-prefix
bingjushou	phrase-full
binh	adjacent-key
biny	phrase-prefix
binyu	phrase-full
binz	phrase-prefix
binzh	phrase-prefix
binzhi	phrase-prefix
binzhir	phrase-prefix
binzhiru	phrase-prefix
binzhirug	phrase-prefix
binzhirugu	phrase-prefix
binzhirugui	phrase-full
bio	missing-letter
bioa	transposed-letters
bir	adjacent-key,phrase-prefix
bire	phrase-prefix
biren	phrase-full
bis	phrase-prefix
bish	phrase-prefix
bishi	phrase-full
bisn	adjacent-key
bisng	adjacent-key
biso	adjacent-key
biu	adjacent-key
biw	adjacent-key,phrase-prefix
biwu	phrase-prefix
biwul	phrase-prefix
biwuli	phrase-prefix
biwulia	phrase-prefix
biwulian	phrase-prefix
biwulianl	phrase-prefix
biwulianle	phrase-prefix
biwulianlei	phrase-full
biy	phrase-prefix
biyu	phrase-full
bj	phrase-initial
bjb	phrase-initial
bjc	phrase-initial
bjdd	phrase-initial
bjdn	phrase-initial
bji	phrase-mixed
bjiandnian	phrase-mixed
bjiangddai	phrase-mixed
bjiaox	phrase-mixed
bjib	phrase-mixed
bjie	phrase-mixed
bjin	phrase-mixed
bjingc	phrase-mixed
bjingz	phrase-mixed
bjiu	phrase-mixed
bjs	phrase-initial
bjus	phrase-mixed
bjx	phrase-initial
bjz	phrase-initial
bk	phrase-initial
bkai	phrase-mixed
bke	phrase-mixed
bkemzhuang	phrase-mixed
bkezfan	phrase-mixed
bkmz	phrase-initial
bkong	phrase-mixed
bku	phrase-mixed
bkzf	phrase-initial
bl	phrase-initial
bld	phrase-initial
blei	phrase-mixed
bleig	phrase-mixed
bles	phrase-mixed
blg	phrase-initial
bli	phrase-mixed
bliangd	phrase-mixed
bling	phrase-mixed
bls	phrase-initial
bm	phrase-initial
bma	phrase-mixed
bmen	phrase-mixed
bmian	phrase-mixed
bmu	phrase-mixed
bmuy	phrase-mixed
bmy	phrase-initial
bn	missing-letter,phrase-initial
bna	transposed-letters
bnag	transposed-letters
bne	transposed-letters
bneg	transposed-letters
bng	missing-letter
bni	transposed-letters
bniao	phrase-mixed
bnig	transposed-letters
bo	adjacent-key,missing-letter,phrase-prefix,syllable
boa	phrase-prefix,transposed-letters
boai	phrase-prefix
boait	phrase-prefix
boaite	phrase-prefix
boaiteq	phrase-prefix
boaitequ	phrase-full
boan	adjacent-key
boang	adjacent-key
boao	adjacent-key
boe	adjacent-key
boh	phrase-prefix
boha	phrase-prefix
bohai	phrase-prefix
bohaih	phrase-prefix
bohaihu	phrase-prefix
bohaihua	phrase-prefix
bohaihuan	phrase-prefix
bohaihuant	phrase-prefix
bohaihuante	phrase-prefix
bohaihuanten	phrase-prefix
bohaihuanteng	phrase-full
boj	phrase-prefix
boji	phrase-prefix
bojin	phrase-prefix
bojing	phrase-prefix
bojingz	phrase-prefix
bojingzi	phrase-full
bok	phrase-prefix
boka	phrase-prefix
bokai	phrase-full
bon	adjacent-key
bong	adjacent-key
boq	phrase-prefix
boqi	phrase-prefix
boqin	phrase-prefix
boqing	phrase-prefix
boqingl	phrase-prefix
boqingla	phrase-prefix
boqinglan	phrase-prefix
boqinglang	phrase-full
bou	adjacent-key
bp	adjacent-key,phrase-initial
bph	phrase-initial
bpiao	phrase-mixed
bping	phrase-mixed
bpingh	phrase-mixed
bq	phrase-initial
bqds	phrase-initial
bqi	phrase-mixed
bqiaodshi	phrase-mixed
bqing	phrase-mixed
bqingl	phrase-mixed
bql	phrase-initial
br	phrase-initial
bren	phrase-mixed
bri	adjacent-key
brn	adjacent-key
brng	adjacent-key
bs	adjacent-key,phrase-initial
bshal	phrase-mixed
bshang	phrase-mixed
bshanl	phrase-mixed
bsheng	phrase-mixed
bshi	phrase-mixed
bshischan	phrase-mixed
bshitgens	phrase-mixed
bshu	phrase-mixed
bsi	adjacent-key
bsim	phrase-mixed
bsl	phrase-initial
bsm	phrase-initial
bsn	adjacent-key
bsng	adjacent-key
bso	adjacent-key
bssc	phrase-initial
bstgs	phrase-initial
bt	phrase-initial
btang	phrase-mixed
btiao	phrase-mixed
bting	phrase-mixed
btong	phrase-mixed
bu	adjacent-key,phrase-prefix,syllable
buan	adjacent-key
buang	adjacent-key
buao	adjacent-key
bub	phrase-prefix
buba	phrase-prefix
bubao	phrase-full
buc	phrase-prefix
buch	phrase-prefix
bucho	phrase-prefix
buchon	phrase-prefix
buchong	phrase-prefix
buchongb	phrase-prefix
buchongbi	phrase-prefix
buchongbin	phrase-prefix
buchongbing	phrase-full
buchou	phrase-full
bud	phrase-prefix
bude	phrase-prefix
budel	phrase-prefix
budeli	phrase-prefix
budelia	phrase-prefix
budeliao	phrase-full
budu	phrase-prefix
budui	phrase-prefix
buduil	phrase-prefix
buduili	phrase-full
bue	adjacent-key
buf	phrase-prefix
bufa	phrase-full
bug	phrase-prefix
bugu	phrase-prefix
bugui	phrase-prefix
buguiz	phrase-prefix
buguize	phrase-full
buh	phrase-prefix
buhu	phrase-prefix
buhua	phrase-prefix
buhuan	phrase-prefix
buhuang	phrase-prefix
buhuangb	phrase-prefix
buhuangbu	phrase-prefix
buhuangbum	phrase-prefix
buhuangbuma	phrase-prefix
buhuangbuman	phrase-prefix
buhuangbumang	phrase-full
buhui	phrase-prefix
buhuiz	phrase-prefix
buhuiza	phrase-prefix
buhuizai	phrase-full
buj	phrase-prefix
buji	phrase-prefix
bujia	phrase-prefix
bujian	phrase-prefix
bujiand	phrase-prefix
bujianda	phrase-prefix
bujiandan	phrase-prefix
bujiandang	phrase-prefix
bujiandangn	phrase-prefix
bujiandangni	phrase-prefix
bujiandangnia	phrase-prefix
bujiandangnian	phrase-full
buk	phrase-prefix
buke	phrase-full,phrase-prefix
bukem	phrase-prefix
bukemi	phrase-prefix
bukemin	phrase-prefix
bukeming	phrase-prefix
bukemingz	phrase-prefix
bukemingzh	phrase-prefix
bukemingzhu	phrase-prefix
bukemingzhua	phrase-prefix
bukemingzhuan	phrase-prefix
bukemingzhuang	phrase-full
bukez	phrase-prefix
bukeza	phrase-prefix
bukezai	phrase-prefix
bukezaif	phrase-prefix
bukezaifa	phrase-prefix
bukezaifan	phrase-full
bul	phrase-prefix
buli	phrase-prefix
bulia	phrase-prefix
bulian	phrase-prefix
buliang	phrase-prefix
buliangd	phrase-prefix
buliangde	phrase-full
bum	phrase-prefix
bumu	phrase-full
bun	adjacent-key
bung	adjacent-key
buo	adjacent-key
bup	phrase-prefix
bupi	phrase-prefix
bupin	phrase-prefix
buping	phrase-full
buq	phrase-prefix
buqi	phrase-prefix
buqia	phrase-prefix
buqiao	phrase-prefix
buqiaod	phrase-prefix
buqiaode	phrase-prefix
buqiaodes	phrase-prefix
buqiaodesh	phrase-prefix
buqiaodeshi	phrase-full
bus	phrase-prefix
bush	phrase-prefix
bushi	phrase-prefix
bushis	phrase-prefix
bushish	phrase-prefix
bushishe	phrase-prefix
bushishen	phrase-prefix
bushisheng	phrase-prefix
bushishengc	phrase-prefix
bushishengch	phrase-prefix
bushishengcha	phrase-prefix
bushishengchan	phrase-full
bux	phrase-prefix
buxi	phrase-prefix
buxie	phrase-full
buxiz	phrase-prefix
buxizi	phrase-prefix
buxiziq	phrase-prefix
buxiziqi	phrase-prefix
buxiziqia	phrase-prefix
buxiziqian	phrase-prefix
buxiziqiang	phrase-full
buy	phrase-prefix
buyi	phrase-full
buyu	phrase-prefix
buyua	phrase-prefix
buyuan	phrase-prefix
buyuanq	phrase-prefix
buyuanqi	phrase-prefix
buyuanqia	phrase-prefix
buyuanqian	phrase-prefix
buyuanqianl	phrase-prefix
buyuanqianli	phrase-prefix
buyuanqianlie	phrase-prefix
buyuanqianlier	phrase-prefix
buyuanqianlierl	phrase-prefix
buyuanqianlierla	phrase-prefix
buyuanqianlierlai	phrase-full
buz	phrase-prefix
buzh	phrase-prefix
buzha	phrase-prefix
buzhan	phrase-full,phrase-prefix
buzhang	phrase-prefix
buzhangh	phrase-prefix
buzhanghu	phrase-prefix
buzhanghui	phrase-prefix
buzhanghuiy	phrase-prefix
buzhanghuiyi	phrase-full
buzhi	phrase-prefix
buzhid	phrase-prefix
buzhida	phrase-prefix
buzhidao	phrase-prefix
buzhidaod	phrase-prefix
buzhidaodi	phrase-full
buzho	phrase-prefix
buzhon	phrase-prefix
buzhong	phrase-prefix
buzhongt	phrase-prefix
buzhongta	phrase-prefix
buzhongtai	phrase-prefix
buzhongtaij	phrase-prefix
buzhongtaiju	phrase-full
bv	adjacent-key
bw	phrase-initial
bwang	phrase-mixed
bwi	adjacent-key
bwll	phrase-initial
bwn	adjacent-key
bwng	adjacent-key
bwu	phrase-mixed
bwullei	phrase-mixed
bx	phrase-initial
bxc	phrase-initial
bxia	phrase-mixed
bxial	phrase-mixed
bxiang	phrase-mixed
bxiangzgao	phrase-mixed
bxiao	phrase-mixed
bxie	phrase-mixed
bxiec	phrase-mixed
bxizqiang	phrase-mixed
bxl	phrase-initial
