input	hiragana	katakana	consumed
akisu	あきす	アキス	0
akiya	あきや	アキヤ	0
akk	あ	ア	1
akka	あっか	アッカ	0
akkan	あっかん	アッカン	0
akkansenzai	あっかんせんざい	アッカンセンザイ	0
akke	あっけ	アッケ	0
akkou	あっこう	アッコウ	0
ako	あこ	アコ	0
akog	あこ	アコ	3
akoga	あこが	アコガ	0
akogar	あこが	アコガ	5
akogare	あこがれ	アコガレ	0
akogarenomato	あこがれのまと	アコガレノマト	0
akogareru	あこがれる	アコガレル	0
akogareshinshouhin	あこがれしんしょうひん	アコガレシンショウヒン	0
akoodeion	あこおでいおん	アコオデイオン	0
akoodo	あこおど	アコオド	0
akoosuteikku	あこおすていっく	アコオステイック	0
aku	あく	アク	0
akubi	あくび	アクビ	0
akueikyou	あくえいきょう	アクエイキョウ	0
akui	あくい	アクイ	0
akuji	あくじ	アクジ	0
akujo	あくじょ	アクジョ	0
akujunkan	あくじゅんかん	アクジュンカン	0
akuma	あくま	アクマ	0
akumademo	あくまでも	アクマデモ	0
akumu	あくむ	アクム	0
akunin	あくにん	アクニン	0
akuriru	あくりる	アクリル	0
akurobatto	あくろばっと	アクロバット	0
akuru	あくる	アクル	0
akuruhi	あくるひ	アクルヒ	0
akuryoku	あくりょく	アクリョク	0
akus	あく	アク	3
akuse	あくせ	アクセ	0
akusei	あくせい	アクセイ	0
akusento	あくせんと	アクセント	0
akuseru	あくせる	アクセル	0
akuses	あくせ	アクセ	5
akusesa	あくせさ	アクセサ	0
akusesar	あくせさ	アクセサ	7
akusesari	あくせさり	アクセサリ	0
akusesarii	あくせさりい	アクセサリイ	0
akusesariigogaku	あくせさりいごがく	アクセサリイゴガク	0
akusesu	あくせす	アクセス	0
akushidento	あくしでんと	アクシデント	0
akushitsu	あくしつ	アクシツ	0
akushon	あくしょん	アクション	0
akushu	あくしゅ	アクシュ	0
akushuu	あくしゅう	アクシュウ	0
akuteibitei	あくていびてい	アクテイビテイ	0
akuteibu	あくていぶ	アクテイブ	0
akutenkou	あくてんこう	アクテンコウ	0
akutoku	あくとく	アクトク	0
akuyaku	あくやく	アクヤク	0
akuyou	あくよう	アクヨウ	0
am	あ	ア	1
ama	あま	アマ	0
amachua	あまちゅあ	アマチュア	0
amadare	あまだれ	アマダレ	0
amado	あまど	アマド	0
amae	あまえ	アマエ	0
amaeru	あまえる	アマエル	0
amaetenshu	あまえてんしゅ	アマエテンシュ	0
amag	あま	アマ	3
amagu	あまぐ	アマグ	0
amagumo	あまぐも	アマグモ	0
amagutsuzuku	あまぐつずく	アマグツズク	0
amai	あまい	アマイ	0
amakudari	あまくだり	アマクダリ	0
amami	あまみ	アマミ	0
amamizu	あまみず	アマミズ	0
amamori	あまもり	アマモリ	0
amanogawa	あまのがわ	アマノガワ	0
amari	あまり	アマリ	0
amarini	あまりに	アマリニ	0
amaru	あまる	アマル	0
amasu	あます	アマス	0
amayadori	あまやどり	アマヤドリ	0
amayakasu	あまやかす	アマヤカス	0
amazu	あまず	アマズ	0
ame	あめ	アメ	0
amedasu	あめだす	アメダス	0
ameeba	あめえば	アメエバ	0
amefuri	あめふり	アメフリ	0
amefuto	あめふと	アメフト	0
amegafuru	あめがふる	アメガフル	0
amerika	あめりか	アメリカ	0
amerikagasshuukoku	あめりかがっしゅうこく	アメリカガッシュウコク	0
amerikajin	あめりかじん	アメリカジン	0
amerikan	あめりかん	アメリカン	0
ami	あみ	アミ	0
amida	あみだ	アミダ	0
amido	あみど	アミド	0
amimono	あみもの	アミモノ	0
aminosan	あみのさん	アミノサン	0
amu	あむ	アム	0
amyuuzumento	あみゅうずめんと	アミュウズメント	0
an	あん	アン	0
ana	あな	アナ	0
anadoru	あなどる	アナドル	0
anagachi	あながち	アナガチ	0
anarisuto	あなりすと	アナリスト	0
anarogu	あなろぐ	アナログ	0
anata	あなた	アナタ	0
anatagata	あなたがた	アナタガタ	0
anaume	あなうめ	アナウメ	0
anaunsaa	あなうんさあ	アナウンサア	0
anaunsu	あなうんす	アナウンス	0
anbai	あんばい	アンバイ	0
anbaransu	あんばらんす	アンバランス	0
anchi	あんち	アンチ	0
anda	あんだ	アンダ	0
andaa	あんだあ	アンダア	0
andaarain	あんだあらいん	アンダアライン	0
ando	あんど	アンド	0
andoroido	あんどろいど	アンドロイド	0
ane	あね	アネ	0
anettai	あねったい	アネッタイ	0
anfyea	あんふぇあ	アンフェア	0
angai	あんがい	アンガイ	0
angou	あんごう	アンゴウ	0
angura	あんぐら	アングラ	0
anguru	あんぐる	アングル	0
angya	あんぎゃ	アンギャ	0
ani	あに	アニ	0
anihattatsu	あにはったつ	アニハッタツ	0
aniki	あにき	アニキ	0
anim	あに	アニ	3
animaru	あにまる	アニマル	0
anime	あにめ	アニメ	0
animeeshon	あにめえしょん	アニメエション	0
animekouho	あにめこうほ	アニメコウホ	0
anji	あんじ	アンジ	0
anjuu	あんじゅう	アンジュウ	0
ank	あん	アン	2
anka	あんか	アンカ	0
ankaa	あんかあ	アンカア	0
ankaakoushou	あんかあこうしょう	アンカアコウショウ	0
ankeeto	あんけえと	アンケエト	0
anken	あんけん	アンケン	0
anki	あんき	アンキ	0
ankimuuru	あんきむうる	アンキムウル	0
anko	あんこ	アンコ	0
ankoku	あんこく	アンコク	0
ankooru	あんこおる	アンコオル	0
anma	あんま	アンマ	0
anmari	あんまり	アンマリ	0
anmin	あんみん	アンミン	0
anmoku	あんもく	アンモク	0
anmonia	あんもにあ	アンモニア	0
anna	あんな	アンナ	0
annai	あんない	アンナイ	0
anni	あんに	アンニ	0
annojou	あんのじょう	アンノジョウ	0
ano	あの	アノ	0
anohito	あのひと	アノヒト	0
anokata	あのかた	アノカタ	0
anone	あのね	アノネ	0
anoyo	あのよ	アノヨ	0
anpi	あんぴ	アンピ	0
anpo	あんぽ	アンポ	0
anpu	あんぷ	アンプ	0
anrakushi	あんらくし	アンラクシ	0
ansanburu	あんさんぶる	アンサンブル	0
ansatsu	あんさつ	アンサツ	0
ansei	あんせい	アンセイ	0
ansendo	あんせんど	アンセンド	0
anshin	あんしん	アンシン	0
anshinkan	あんしんかん	アンシンカン	0
anshou	あんしょう	アンショウ	0
ansorojii	あんそろじい	アンソロジイ	0
anta	あんた	アンタ	0
antai	あんたい	アンタイ	0
antei	あんてい	アンテイ	0
anteiiku	あんていいく	アンテイイク	0
antena	あんてな	アンテナ	0
anun	あぬん	アヌン	0
anz	あん	アン	2
anze	あんぜ	アンゼ	0
anzen	あんぜん	アンゼン	0
anzenh	あんぜん	アンゼン	5
anzenho	あんぜんほ	アンゼンホ	0
anzenhos	あんぜんほ	アンゼンホ	7
anzenhosh	あんぜんほ	アンゼンホ	7
anzenhosho	あんぜんほしょ	アンゼンホショ	0
anzenhoshou	あんぜんほしょう	アンゼンホショウ	0
anzenhoshousenpaku	あんぜんほしょうせんぱく	アンゼンホショウセンパク	0
anzu	あんず	アンズ	0
ao	あお	アオ	0
aoba	あおば	アオバ	0
aogu	あおぐ	アオグ	0
aoi	あおい	アオイ	0
aoiro	あおいろ	アオイロ	0
aojashin	あおじゃしん	アオジャシン	0
aojiroi	あおじろい	アオジロイ	0
aoki	あおき	アオキ	0
aomuke	あおむけ	アオムケ	0
aoru	あおる	アオル	0
aotagai	あおたがい	アオタガイ	0
aoume	あおうめ	アオウメ	0
aoyagi	あおやぎ	アオヤギ	0
aozameru	あおざめる	アオザメル	0
aozora	あおぞら	アオゾラ	0
apaato	あぱあと	アパアト	0
apiiru	あぴいる	アピイル	0
appaa	あっぱあ	アッパア	0
appaku	あっぱく	アッパク	0
appu	あっぷ	アップ	0
apuri	あぷり	アプリ	0
apurikeeshon	あぷりけえしょん	アプリケエション	0
apuroochi	あぷろおち	アプロオチ	0
aqqu	あっくぅ	アックゥ	0
ar	あ	ア	1
ara	あら	アラ	0
araarashii	あらあらしい	アラアラシイ	0
araato	あらあと	アラアト	0
arabu	あらぶ	アラブ	0
arai	あらい	アライ	0
araiageru	あらいあげる	アライアゲル	0
araimono	あらいもの	アライモノ	0
arakajime	あらかじめ	アラカジメ	0
arakaruto	あらかると	アラカルト	0
araki	あらき	アラキ	0
aranami	あらなみ	アラナミ	0
arappoi	あらっぽい	アラッポイ	0
ararageru	あららげる	アララゲル	0
arashi	あらし	アラシ	0
arasoi	あらそい	アラソイ	0
arasou	あらそう	アラソウ	0
arasu	あらす	アラス	0
arasuji	あらすじ	アラスジ	0
arata	あらた	アラタ	0
aratamaru	あらたまる	アラタマル	0
aratameru	あらためる	アラタメル	0
aratamete	あらためて	アラタメテ	0
arate	あらて	アラテ	0
arau	あらう	アラウ	0
araware	あらわれ	アラワレ	0
arawareru	あらわれる	アラワレル	0
arawasu	あらわす	アラワス	0
arayuru	あらゆる	アラユル	0
are	あれ	アレ	0
aredake	あれだけ	アレダケ	0
arehodo	あれほど	アレホド	0
arekore	あれこれ	アレコレ	0
arenji	あれんじ	アレンジ	0
areno	あれの	アレノ	0
areru	あれる	アレル	0
arerugii	あれるぎい	アレルギイ	0
ari	あり	アリ	0
aria	ありあ	アリア	0
ariawase	ありあわせ	アリアワセ	0
aribai	ありばい	アリバイ	0
arienai	ありえない	アリエナイ	0
arifureta	ありふれた	アリフレタ	0
arigachi	ありがち	アリガチ	0
arigatai	ありがたい	アリガタイ	0
arigatou	ありがとう	アリガトウ	0
arigatougozaimashita	ありがとうございました	アリガトウゴザイマシタ	0
arigatougozaimasu	ありがとうございます	アリガトウゴザイマス	0
arii	ありい	アリイ	0
ariin	ありいん	アリイン	0
ariina	ありいな	アリイナ	0
ariinakoukai	ありいなこうかい	アリイナコウカイ	0
arinomama	ありのまま	アリノママ	0
arisama	ありさま	アリサマ	0
arishihi	ありしひ	アリシヒ	0
arisou	ありそう	アリソウ	0
aritoarayuru	ありとあらゆる	アリトアラユル	0
aroha	あろは	アロハ	0
aromaterapii	あろまてらぴい	アロマテラピイ	0
aroo	あろお	アロオ	0
aru	ある	アル	0
arubaito	あるばいと	アルバイト	0
arubamu	あるばむ	アルバム	0
aruchuu	あるちゅう	アルチュウ	0
arudehido	あるでひど	アルデヒド	0
arufua	あるふあ	アルフア	0
arufuabetto	あるふあべっと	アルフアベット	0
arufuabettojun	あるふあべっとじゅん	アルフアベットジュン	0
arugorizumu	あるごりずむ	アルゴリズム	0
aruiha	あるいは	アルイハ	0
aruimide	あるいみで	アルイミデ	0
aruimideha	あるいみでは	アルイミデハ	0
aruji	あるじ	アルジ	0
arukadeia	あるかでいあ	アルカデイア	0
arukari	あるかり	アルカリ	0
arukarisei	あるかりせい	アルカリセイ	0
arukimawaru	あるきまわる	アルキマワル	0
arukooru	あるこおる	アルコオル	0
aruku	あるく	アルク	0
arumi	あるみ	アルミ	0
aruminiumu	あるみにうむ	アルミニウム	0
arupain	あるぱいん	アルパイン	0
arupusu	あるぷす	アルプス	0
aruto	あると	アルト	0
arutsuhaimaa	あるつはいまあ	アルツハイマア	0
asa	あさ	アサ	0
asaban	あさばん	アサバン	0
asagao	あさがお	アサガオ	0
asagata	あさがた	アサガタ	0
asagiri	あさぎり	アサギリ	0
asagohan	あさごはん	アサゴハン	0
asaguroi	あさぐろい	アサグロイ	0
asahaka	あさはか	アサハカ	0
asahi	あさひ	アサヒ	0
asai	あさい	アサイ	0
asaichiban	あさいちばん	アサイチバン	0
asameshi	あさめし	アサメシ	0
asanebou	あさねぼう	アサネボウ	0
asanuno	あさぬの	アサヌノ	0
asaru	あさる	アサル	0
asase	あさせ	アサセ	0
asatte	あさって	アサッテ	0
asayuu	あさゆう	アサユウ	0
ase	あせ	アセ	0
aseri	あせり	アセリ	0
aseru	あせる	アセル	0
asesumento	あせすめんと	アセスメント	0
ashi	あし	アシ	0
ashiato	あしあと	アシアト	0
ashiba	あしば	アシバ	0
ashibaya	あしばや	アシバヤ	0
ashibumi	あしぶみ	アシブミ	0
ashidome	あしどめ	アシドメ	0
ashidori	あしどり	アシドリ	0
ashigakari	あしがかり	アシガカリ	0
ashikarazu	あしからず	アシカラズ	0
ashikoshi	あしこし	アシコシ	0
ashikubi	あしくび	アシクビ	0
ashimoto	あしもと	アシモト	0
ashinami	あしなみ	アシナミ	0
ashioto	あしおと	アシオト	0
ashisutanto	あしすたんと	アシスタント	0
ashisuto	あしすと	アシスト	0
ashita	あした	アシタ	0
asobi	あそび	アソビ	0
asobiaite	あそびあいて	アソビアイテ	0
asobiba	あそびば	アソビバ	0
asobu	あそぶ	アソブ	0
asoko	あそこ	アソコ	0
assari	あっさり	アッサリ	0
assen	あっせん	アッセン	0
asshou	あっしょう	アッショウ	0
asshuku	あっしゅく	アッシュク	0
asu	あす	アス	0
asubesuto	あすべすと	アスベスト	0
asufuaruto	あすふあると	アスフアルト	0
asukii	あすきい	アスキイ	0
asuparagasu	あすぱらがす	アスパラガス	0
asurechikku	あすれちっく	アスレチック	0
asuriito	あすりいと	アスリイト	0
at	あ	ア	1
ata	あた	アタ	0
ataeru	あたえる	アタエル	0
atai	あたい	アタイ	0
ataisuru	あたいする	アタイスル	0
atakamo	あたかも	アタカモ	0
atakku	あたっく	アタック	0
atama	あたま	アタマ	0
atamakin	あたまきん	アタマキン	0
atamauchi	あたまうち	アタマウチ	0
atar	あた	アタ	3
atarashii	あたらしい	アタラシイ	0
atari	あたり	アタリ	0
atarim	あたり	アタリ	5
atarima	あたりま	アタリマ	0
atarimae	あたりまえ	アタリマエ	0
atarimaeokaikei	あたりまえおかいけい	アタリマエオカイケイ	0
atariyaku	あたりやく	アタリヤク	0
ataru	あたる	アタル	0
atashi	あたし	アタシ	0
atat	あた	アタ	3
atata	あたた	アタタ	0
atatakai	あたたかい	アタタカイ	0
atatam	あたた	アタタ	5
atatama	あたたま	アタタマ	0
atatamar	あたたま	アタタマ	7
atatamaru	あたたまる	アタタマル	0
atatamarumiraa	あたたまるみらあ	アタタマルミラア	0
atatameru	あたためる	アタタメル	0
atchi	あ	ア	1
atchikotchi	あ	ア	1
ate	あて	アテ	0
atehamaru	あてはまる	アテハマル	0
atehameru	あてはめる	アテハメル	0
atena	あてな	アテナ	0
ateru	あてる	アテル	0
atesaki	あてさき	アテサキ	0
ato	あと	アト	0
atogaki	あとがき	アトガキ	0
atokara	あとから	アトカラ	0
atokatazuke	あとかたずけ	アトカタズケ	0
atomawashi	あとまわし	アトマワシ	0
atomodori	あともどり	アトモドリ	0
atomu	あとむ	アトム	0
atonomatsuri	あとのまつり	アトノマツリ	0
atooshi	あとおし	アトオシ	0
atopii	あとぴい	アトピイ	0
atorakushon	あとらくしょん	アトラクション	0
atorasu	あとらす	アトラス	0
atorie	あとりえ	アトリエ	0
atoshimatsu	あとしまつ	アトシマツ	0
atotsugi	あとつぎ	アトツギ	0
atsuatsu	あつあつ	アツアツ	0
atsugami	あつがみ	アツガミ	0
atsugi	あつぎ	アツギ	0
atsui	あつい	アツイ	0
atsukai	あつかい	アツカイ	0
atsukamashii	あつかましい	アツカマシイ	0
atsukau	あつかう	アツカウ	0
atsumari	あつまり	アツマリ	0
atsumaru	あつまる	アツマル	0
atsumeru	あつめる	アツメル	0
atsumi	あつみ	アツミ	0
atsuryoku	あつりょく	アツリョク	0
atsusa	あつさ	アツサ	0
attenai	あってない	アッテナイ	0
atteno	あっての	アッテノ	0
atto	あっと	アット	0
attoiuma	あっというま	アットイウマ	0
attoiumani	あっというまに	アットイウマニ	0
attou	あっとう	アットウ	0
attouteki	あっとうてき	アットウテキ	0
au	あう	アウ	0
auto	あうと	アウト	0
autodoa	あうとどあ	アウトドア	0
autoretto	あうとれっと	アウトレット	0
awa	あわ	アワ	0
awaa	あわあ	アワア	0
awabi	あわび	アワビ	0
awai	あわい	アワイ	0
aware	あわれ	アワレ	0
awaremu	あわれむ	アワレム	0
awaseru	あわせる	アワセル	0
awasu	あわす	アワス	0
awatadashii	あわただしい	アワタダシイ	0
awateru	あわてる	アワテル	0
ay	あ	ア	1
ayabumu	あやぶむ	アヤブム	0
ayafuya	あやふや	アヤフヤ	0
ayamachi	あやまち	アヤマチ	0
ayamari	あやまり	アヤマリ	0
ayamaru	あやまる	アヤマル	0
ayamatte	あやまって	アヤマッテ	0
ayashii	あやしい	アヤシイ	0
ayashimu	あやしむ	アヤシム	0
ayatsuru	あやつる	アヤツル	0
ayaui	あやうい	アヤウイ	0
ayauku	あやうく	アヤウク	0
ayu	あゆ	アユ	0
ayum	あゆ	アユ	3
ayumi	あゆみ	アユミ	0
ayumiyori	あゆみより	アユミヨリ	0
ayumiyoru	あゆみよる	アユミヨル	0
ayumu	あゆむ	アユム	0
ayumusarusa	あゆむさるさ	アユムサルサ	0
aza	あざ	アザ	0
azakeru	あざける	アザケル	0
azamuku	あざむく	アザムク	0
azayaka	あざやか	アザヤカ	0
azukari	あずかり	アズカリ	0
azukarijo	あずかりじょ	アズカリジョ	0
azukarishou	あずかりしょう	アズカリショウ	0
azukaru	あずかる	アズカル	0
azukeireru	あずけいれる	アズケイレル	0
azukeru	あずける	アズケル	0
azuki	あずき	アズキ	0
b			0
ba	ば	バ	0
baa	ばあ	バア	0
baabaa	ばあばあ	バアバア	0
baabekyuu	ばあべきゅう	バアベキュウ	0
baaberu	ばあべる	バアベル	0
baabon	ばあぼん	バアボン	0
baachan	ばあちゃん	バアチャン	0
baacharu	ばあちゃる	バアチャル	0
baadeii	ばあでいい	バアデイイ	0
baadokooru	ばあどこおる	バアドコオル	0
baagaa	ばあがあ	バアガア	0
baagen	ばあげん	バアゲン	0
baagenseeru	ばあげんせえる	バアゲンセエル	0
baai	ばあい	バアイ	0
baajin	ばあじん	バアジン	0
baajinia	ばあじにあ	バアジニア	0
baajon	ばあじょん	バアジョン	0
baakoodo	ばあこおど	バアコオド	0
baamingamu	ばあみんがむ	バアミンガム	0
baanaa	ばあなあ	バアナア	0
baareru	ばあれる	バアレル	0
baaresuku	ばあれすく	バアレスク	0
baaru	ばある	バアル	0
baas	ばあ	バア	3
baasan	ばあさん	バアサン	0
baasu	ばあす	バアス	0
baasud	ばあす	バアス	5
baasude	ばあすで	バアスデ	0
baasudee	ばあすでえ	バアスデエ	0
baasudeeshukkin	ばあすでえしゅっきん	バアスデエシュッキン	0
baasuto	ばあすと	バアスト	0
baataa	ばあたあ	バアタア	0
baaten	ばあてん	バアテン	0
baba	ばば	ババ	0
baberunotou	ばべるのとう	バベルノトウ	0
baburu	ばぶる	バブル	0
bachi	ばち	バチ	0
bachigai	ばちがい	バチガイ	0
bachikan	ばちかん	バチカン	0
badominton	ばどみんとん	バドミントン	0
bafuarin	ばふありん	バフアリン	0
bagabondo	ばがぼんど	バガボンド	0
baggu	ばっぐ	バッグ	0
bagii	ばぎい	バギイ	0
bagudaddo	ばぐだっど	バグダッド	0
bahha	ばっは	バッハ	0
bai	ばい	バイ	0
baiasuron	ばいあすろん	バイアスロン	0
baibai	ばいばい	バイバイ	0
baiburu	ばいぶる	バイブル	0
baik	ばい	バイ	3
baika	ばいか	バイカ	0
baikai	ばいかい	バイカイ	0
baikaibeki	ばいかいべき	バイカイベキ	0
baiki	ばいき	バイキ	0
baikin	ばいきん	バイキン	0
baiking	ばいきん	バイキン	6
baikingu	ばいきんぐ	バイキング	0
baikingushussei	ばいきんぐしゅっせい	バイキングシュッセイ	0
baikokudo	ばいこくど	バイコクド	0
baiku	ばいく	バイク	0
baikyaku	ばいきゃく	バイキャク	0
baio	ばいお	バイオ	0
baiorin	ばいおりん	バイオリン	0
baiotekunorojii	ばいおてくのろじい	バイオテクノロジイ	0
baipasu	ばいぱす	バイパス	0
bairingaru	ばいりんがる	バイリンガル	0
bairitsu	ばいりつ	バイリツ	0
bais	ばい	バイ	3
baish	ばい	バイ	3
baishaku	ばいしゃく	バイシャク	0
baishin	ばいしん	バイシン	0
baisho	ばいしょ	バイショ	0
baishou	ばいしょう	バイショウ	0
baishouchuujitsu	ばいしょうちゅうじつ	バイショウチュウジツ	0
baishoukin	ばいしょうきん	バイショウキン	0
baishun	ばいしゅん	バイシュン	0
baishunfu	ばいしゅんふ	バイシュンフ	0
baishuu	ばいしゅう	バイシュウ	0
baitai	ばいたい	バイタイ	0
baitaritei	ばいたりてい	バイタリテイ	0
baiten	ばいてん	バイテン	0
baito	ばいと	バイト	0
baiu	ばいう	バイウ	0
baiumainasu	ばいうまいなす	バイウマイナス	0
baiyaa	ばいやあ	バイヤア	0
baiyou	ばいよう	バイヨウ	0
baizou	ばいぞう	バイゾウ	0
bajji	ばっじ	バッジ	0
bajutsu	ばじゅつ	バジュツ	0
bak	ば	バ	2
baka	ばか	バカ	0
bakansu	ばかんす	バカンス	0
bakar	ばか	バカ	4
bakarashii	ばからしい	バカラシイ	0
bakari	ばかり	バカリ	0
