id	group	google_status	minime_status	google_text	minime_text	same_final_text	google_candidates	minime_candidates
en-cursor-in-word	editing	observed	observed	hex llo 	hex llo 	True	x | I | my | all | everyone	
py-hide-show	lifecycle	observed	observed	 	nihao 	False	你好 | 妳好 | 你 | 妳 | 你還	你好 | 妳好 | 您好
py-restart	lifecycle	observed	observed	 	srf 	False	雙人房 | 輸入法 | 殺人犯 | 四人房	輸入法 | 殺人犯 | 雙人房
en-restart	lifecycle	observed	observed	hello 	hello 	True	hello | hel | Hel | help | hex	held | help | helped
py-active-switch	switching	unavailable	observed		你好hello 	False		你好 | 妳好 | 您好
en-active-switch	switching	unavailable	observed	hello	hello你好	False	jello | hello | help | hell | hellos	
field-nosuggest	editor-policy	observed	observed	pronun 	pronun 	True		
field-private	editor-policy	observed	observed	pronunciation 	pronun 	False	pronunciation | pronun | pronunciations	pronunciation | pronunciations
field-password	editor-policy	observed	observed	pronun 	pronun 	True		
field-url	editor-policy	observed	observed	pronun 	pronun 	True	pronunciation | pronun | pronunciations	
field-email	editor-policy	observed	observed	pronun 	pronun 	True	pronunciation | pronun | pronunciations	
field-number	editor-policy	observed	observed	12.3	12.3	True		
field-search-en	editor-action	observed	observed	hello	hello	True	jello | hello | help | hell | hellos	
field-search-py	editor-action	observed	observed	你好	你好	True	你好 | 妳好 | 你 | 妳 | 你還	你好 | 妳好 | 您好
en-enter	editor-action	observed	observed	"hello
"	"hello
"	True	jello | hello | help | hell | hellos	
py-enter	editor-action	observed	observed	"你好
"	"你好
"	True	你好 | 妳好 | 你 | 妳 | 你還	你好 | 妳好 | 您好
url-slides	editor-policy	observed	observed	name@example.com	name@example.com	True	named | name | names | same | make	
py-latin-space	intentional-control	observed	observed	meeting	meeting 	False	meeting | nesting | 麼 | 嗎	梅爾聽 | 梅爾停 | 梅爾庭
en-cap-co	english-prefix-cap	observed	observed	co	co	True	could | co | come | to | contact	come | company | community
en-cap-in	english-prefix-cap	observed	observed	in	in	True	on | in | I'm | into | information	including | include | included
en-cap-re	english-prefix-cap	observed	observed	re	re	True	receive | re | tech | are | teh	received | record | recorded
en-word-trace	gestures	observed	observed	hello		False		
py-expanded-candidates	candidate-presentation	observed	observed		shi	False	是 | 時 | 使 | 十 | 式 | 事	是 | 時 | 十 | 事 | 實
en-expanded-candidates	candidate-presentation	observed	unavailable	co	co	False	could | co | come | to | contact	come | company | community
landscape-pinyin	landscape	observed	observed	你好	你好	True	Mixed text | 你好 | 妳好 | 你 | 妳 | 泥 | 妮 | 尼 | 呢	你好 | 妳好 | 您好 | 你好嗎 | 念好 | 逆號 | 唸好 | 兒好 | 年好
landscape-english	landscape	observed	observed	hello .	hello .	True	hello  | x | I | my | all | everyone | there | again | to	
