round	group	condition	query	core_us	addons_us	core_n	addons_n	core_signature	addons_signature
0	phone	prefix	haoh	208	744	110	8	2f7d6e3afa087c9a484e169045e374a99da4a4da56f7dcb8cfc04839fbbd21b7	14c421a6650c3316727f75eab5331820a604e2287f73d7ba99726c919cc1fc1c
0	phone	prefix	haohz	164	665	94	0	0169ae5c020105e9b68c4e4a888b79cc3b5e672a1fc7f92867c251eaf7cb1703	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0	phone	prefix	haohzh	124	675	93	0	2ed5ba6920786ca1ee0853c359c2f0d5f1f769643a0f0eeb35115f75ce2fcd9e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0	phone	prefix	haohzhi	130	676	93	0	2ed5ba6920786ca1ee0853c359c2f0d5f1f769643a0f0eeb35115f75ce2fcd9e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0	phone	prefix	haohzhix	149	714	93	1	2ed5ba6920786ca1ee0853c359c2f0d5f1f769643a0f0eeb35115f75ce2fcd9e	d5b052e198d906f58b2e462b0cddd18a8de289810261b52184c1f09a2032f196
0	phone	prefix	q	760	1153	128	8	c29bb643f98f69214c74b6822a05b087bb009bb6a871f01837f736fc0d996b7a	ed4bee1246c9ea74200673c8155bd642b55f2a67cee1d9cc438d46bb1e8cae9c
0	phone	prefix	qi	595	1236	336	8	95b89aec874a1dfa54338d52eebb5e6816de88a213fdcb9ba13bd15830461613	b0d6b20924f6c237a0bb65347cd0676c628bc7635c24342ebd377f0e8e8389a8
0	phone	prefix	qia	561	417	391	8	d7f7cc07f4a86202b73f8ee6edbe5baf00e6bbe07cfcb52bb3af04e603eb9a40	3cb1c5df2b17cd9b7060fd266430c215894af7d49204efc005e3b5be85961a7d
0	phone	prefix	qian	548	360	239	8	e337e44696f3384f7ee3d2a41b12a633644afb76c3f97995f9e632e3b4e0c045	6cd054b1b48f7e8935244512134a60be808a8b74cb95a6786301b5249c7adbd5
0	phone	prefix	qiang	487	245	284	8	6bb10b55d80094021cef7ce496d1e4e3a7cda7e510f3f53ea282fc9912895940	f298292fe5d4098c45dfb6bcc9ae6ebdfcbbb80dc1a63272d20c77beadb2f5af
0	phone	prefix	qiangh	209	198	75	0	55895493a787093cdf96a1897d67ebf7d836991df9ad104db2f17b53ffd8b0dc	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0	phone	prefix	qianghu	191	173	73	0	c2ad3e365911ae010d6ae538cbf2c5ffbb285e750118a66acaae4c31bcc6841b	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0	phone	prefix	qianghua	194	174	69	0	ecf5914044512747395d1f42ad0286738fbe1632f286863202cf2dff51b3cf41	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
